Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,
Aruba,ABW,Agricultural land (% of land area),AG.LND.AGRI.ZS,,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,,
Africa Eastern and Southern,AFE,Agricultural land (% of land area),AG.LND.AGRI.ZS,,40.4884524207293,40.4190804977299,40.4455406683479,40.4138108402359,40.3505782221657,40.3575953496702,40.3580991708497,40.3777082945946,40.4163162007212,40.5070159377377,40.6269085684933,40.6490914462887,40.6708343897772,40.6897868343469,40.7438659904345,40.7397354265057,40.7690137220674,40.8625464110459,40.8330501898624,40.8413326524021,40.9836008130434,41.0278390021967,41.0955739322451,41.1419171523905,41.3513223672286,41.4474786632898,41.4921435460874,41.5641611679761,41.6817814432611,41.6486764339912,41.7768964499972,41.8971919790608,41.3404517904023,41.4739450364562,41.5681134959126,41.6354512373345,41.7772277256137,41.9282693913409,42.1424235243318,42.3297559261278,42.39118597666,42.4549330902732,42.6470655713765,42.3226026050792,42.4195280011772,42.5502424429372,42.7044180630014,42.8201844894065,43.0857337625694,43.3020925824111,43.562526357228,45.7787042671742,45.8810527809186,45.9780444690021,46.0506179101141,46.1616694417186,46.2460594392602,46.3695581728235,46.4191789506879,46.4569755495826,46.5105662241913,46.541210005602,,
Afghanistan,AFG,Agricultural land (% of land area),AG.LND.AGRI.ZS,,57.878355794735,57.9550158686353,58.0316759425356,58.1160020238259,58.123668031216,58.1926620977263,58.2294589331984,58.2309921346764,58.2555233583245,58.2708553731046,58.3168514174448,58.3352498351808,58.3370896769544,58.3387761985803,58.3387761985803,58.3383162381369,58.3383162381369,58.3383162381369,58.3367830366588,58.3367830366588,58.3429158425709,58.3444490440489,58.3444490440489,58.3444490440489,58.3444490440489,58.3444490440489,58.3306502307468,58.3229842233568,58.3229842233568,58.3229842233568,58.3076522085767,58.3076522085767,58.1604648666881,57.9749474878494,57.8982874139491,57.889088205081,57.9473498612453,58.0592735691397,57.8998206154271,57.9458166597673,57.9473498612453,57.9396838538552,58.0838047927878,58.1512656578201,58.134400441562,58.123668031216,58.129800837128,58.132867240084,58.132867240084,58.134400441562,58.131334038606,58.129800837128,58.123668031216,58.123668031216,58.123668031216,58.123668031216,58.123668031216,58.2769881790166,58.2769881790166,58.7415482268525,58.7415482268525,58.7415482268525,,
Africa Western and Central,AFW,Agricultural land (% of land area),AG.LND.AGRI.ZS,,32.9064671953379,32.9482392241046,32.993102918451,33.0307791452682,33.0779055731558,33.103534374316,33.1111832316743,33.2370149824575,33.2617727362163,33.1863758458998,33.2124096619938,33.2379273714487,33.2558090460704,33.2081597978373,33.2900283889283,33.3736542343502,33.3875604978233,33.445067313156,33.5418764329886,33.6625496087678,33.6529756416804,33.7319649604567,33.8223075290356,33.9203696640865,34.0363796156882,34.158098737754,34.1754883382085,34.3145327876645,34.3269284572475,34.6781584672632,34.8408623468623,35.1158124009207,35.3965606282709,35.7374076641263,36.2333871595374,36.460499592075,36.6307900147914,36.6780539102211,36.9311293332361,37.0524249318467,37.2350057264271,37.3791995936227,37.574218873331,37.5391256475395,38.2455234927226,38.2737508650442,38.4930103208347,38.6447171277657,38.802928592117,39.0095392768783,39.1357633614791,39.4490886800254,39.7458531602582,39.9207438164536,40.2124235942064,40.3000928388707,40.475866835143,40.8043266583976,40.9488697428069,41.1203255554806,41.3739993917601,41.4328200143868,,
Angola,AGO,Agricultural land (% of land area),AG.LND.AGRI.ZS,,36.2372663832518,36.2436833239753,36.241276971204,36.2476939119275,36.2452875591562,36.2517044998797,36.2573193230128,36.2637362637363,36.2773722627737,36.2597256757841,36.241276971204,36.2236303842143,36.2051816796342,36.1875350926446,36.1698885056549,35.9910162829871,35.9733696959974,35.9549209914173,35.9292532285233,35.906793935991,35.8771155851448,35.8586668805647,35.8370097056228,35.8145504130906,35.7969038261009,35.7303280660945,35.7126814791048,35.6950348921152,35.6765861875351,35.6589396005454,35.6805967754873,35.7030560680196,35.7022539504291,35.7022539504291,35.6862115986204,35.6517205422315,35.6541268950028,35.7046603032004,35.7479746530841,35.7126814791048,35.6260527793374,35.6445014839175,35.6934306569343,35.5418304323414,35.4399614983557,35.4030640891955,35.4896927889629,35.4495869094409,35.7985080612818,35.9749739311783,36.3487607283228,36.3383331996471,36.4867249538782,36.6359188256998,36.7281623486003,36.7562364642657,36.7145263495628,36.7305687013716,36.7987486965589,36.8107804604155,36.8147910483677,36.8147910483677,,
Albania,ALB,Agricultural land (% of land area),AG.LND.AGRI.ZS,,44.963503649635,44.963503649635,45,44.8905109489051,45.1459854014599,45.2554744525547,45.4014598540146,45.2554744525547,45.0729927007299,44.8905109489051,43.7956204379562,42.8467153284672,41.8248175182482,40.9489051094891,39.4160583941606,39.2335766423358,40.4744525547445,40.6569343065693,40.7664233576642,40.8029197080292,40.7299270072993,40.6569343065693,40.5109489051095,40.6204379562044,40.5839416058394,40.5474452554745,40.5474452554745,40.7664233576642,40.5109489051095,40.9124087591241,41.1313868613139,41.1313868613139,41.0948905109489,41.0948905109489,41.1313868613139,41.2773722627737,41.4233576642336,41.5693430656934,41.7883211678832,41.7518248175182,41.5693430656934,41.6058394160584,40.9124087591241,40.9489051094891,39.3065693430657,40.8759124087591,40.8394160583942,43.1021897810219,43.8430656934307,43.8430656934307,43.8321167883212,43.8430656934307,43.3321167883212,42.857299270073,42.8576642335766,43.1277372262774,42.8569708029197,42.8496715328467,42.8467153284672,42.538503649635,41.471897810219,41.4452554744526,,
Andorra,AND,Agricultural land (% of land area),AG.LND.AGRI.ZS,,55.3191489361702,55.3191489361702,55.3191489361702,55.3191489361702,55.3191489361702,55.3191489361702,55.3191489361702,55.3191489361702,55.3191489361702,55.3191489361702,53.1914893617021,53.1914893617021,51.063829787234,51.063829787234,51.063829787234,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.936170212766,48.4042553191489,48.6170212765957,48.6382978723404,48.531914893617,46.3829787234043,46.3404255319149,44.1914893617021,44.1702127659574,44.1914893617021,42.063829787234,42.063829787234,39.9148936170213,40.0212765957447,40,40.0212765957447,40.0425531914894,40.0425531914894,40.0723404255319,40.0002127659574,39.9517021276596,39.9068085106383,39.9068085106383,,
Arab World,ARB,Agricultural land (% of land area),AG.LND.AGRI.ZS,,27.8459671979345,27.8385798665314,27.8592287928629,27.8634119805249,27.8841499108491,27.8850399507772,27.9392433823974,27.9673686441247,28.0273573352774,28.0962464257109,28.2475532134847,28.3761639830924,28.3628253563666,28.423170278328,28.3886366061731,28.4650913081862,28.4833371916702,28.533357613709,28.5484883463542,28.6445239964964,28.2728954018683,28.299039527793,28.3532787541106,28.8493549546163,29.2720755831718,29.7085527178312,30.1997853038042,30.6609166322442,31.1004021125707,31.5946786459347,31.6509916726678,31.7527186985528,32.4498170119153,33.1193078307365,33.7468984856923,34.390239724671,34.9828045403866,35.69456829916,36.3123541856116,36.3339574156078,36.3139487661844,36.3554854459967,36.4125163202851,36.4837184711926,36.4878707293678,36.5037353038114,36.5167350832833,36.4446207373679,36.417963868592,36.4665491390722,36.4871185243823,39.8188551016344,39.8705697485443,39.8379996213891,39.8708634110015,39.9363858970886,39.9852153767825,39.9708602889899,39.9077871346411,39.9687286082438,39.9673366228113,40.8754671298261,,
United Arab Emirates,ARE,Agricultural land (% of land area),AG.LND.AGRI.ZS,,2.92875246409462,2.92875246409462,2.92875246409462,2.92875246409462,2.94283300478738,2.95691354548015,2.95691354548015,2.95691354548015,2.95691354548015,2.98507462686567,2.98507462686567,2.98507462686567,2.99915516755843,3.0132357082512,3.02731624894396,3.04139678963672,3.05547733032948,3.06955787102225,3.08363841171501,3.13996057448606,3.19628273725711,3.19628273725711,3.26668544072092,3.26668544072092,3.30892706279921,3.3511686848775,3.3511686848775,3.36524922557026,3.36524922557026,4.01295409743734,4.36496761475641,4.77330329484652,4.99859194593072,5.23796113770769,5.39284708532808,5.44916924809913,5.56181357364123,5.60405519571952,7.2655589974655,7.70205575894114,7.91326386933258,7.96958603210363,7.80061954379048,7.80061954379048,7.84286116586877,7.58377921712194,7.49929597296536,7.5978597578147,5.46184173472261,5.52379611377077,5.47029005913827,5.30413967896367,5.34215713883413,5.3858068149817,5.39003097718952,5.40411151788229,5.40411151788229,5.37524640946212,5.49704308645452,5.48859476203886,5.51339763446916,5.51339763446916,,
Argentina,ARG,Agricultural land (% of land area),AG.LND.AGRI.ZS,,50.3633951963869,49.8536553281519,49.2839890524685,48.7073800832392,48.1530608143414,47.8490439180178,47.3941147883027,47.2231052841206,46.5460099609382,46.5463753658617,46.5463753658617,46.5463753658617,46.5463753658617,46.5463753658617,46.5463753658617,46.5463753658617,46.5463753658617,46.5463753658617,46.5463753658617,46.5463753658617,46.5463753658617,46.5467407707851,46.5471061757086,46.5467407707851,46.5467407707851,46.5467407707851,46.5467407707851,46.5452791510913,46.5781655942032,46.6128790619325,46.6475925296617,46.682305997391,46.7170194651203,46.7528291476199,46.7882734251961,46.8237177027723,46.8577003606547,46.8924138283839,46.9223770321081,46.9581867146078,46.9932655872605,47.031267699301,47.1749814557001,47.3186952120993,47.4737365211259,47.5533947944415,47.4910932549905,46.4235627710848,45.4302094866426,46.1389123357048,45.7919603608739,45.5813044224958,44.9219312381015,44.1959177327355,44.1239360687546,43.4324236577764,42.9825761047104,42.3614771494031,42.6057296222809,43.0005774859411,43.1099197570788,43.427782101736,,
